"name","pvalue","group"
"ITRc_36764 - DDE_Tnp_ISL3",1.3484723926706e-33,"1"
"ITRc_96822 - PDDEXK_2",4.05288289658278e-32,"2"
"ITRc_1685574 - DDE_Tnp_IS240",3.69013175369303e-31,"1"
"ITRc_117575 - Transposase_mut",5.5136186448805e-29,"2"
"ITRc_357478 - DDE_Tnp_IS66",4.80045546549917e-25,"2"
"ITRc_184699 - DEDD_Tnp_IS110",1.64457994578377e-22,"2"
"ITRc_3390585 - DDE_Tnp_ISL3",1.52657603009214e-21,"1"
"ITRc_112300 - DDE_Tnp_ISL3",1.45531047715275e-19,"1"
"ITRc_2305324 - Transposase_mut",3.45285768617876e-19,"2"
"ITRc_200787 - PDDEXK_2",4.1559558994621e-19,"2"
"ITRc_227203 - PDDEXK_2",4.1559558994621e-19,"2"
"ITRc_137117 - PDDEXK_2",1.02373794297512e-18,"2"
"ITRc_67258 - Transposase_mut",2.80869800030055e-18,"2"
"ITRc_366829 - OrfB_Zn_ribbon",1.87870946470343e-17,"2"
"ITRc_47687 - Y1_Tnp",4.84025682334004e-17,"2"
"ITRc_111869 - PDDEXK_2",7.0761953919961e-16,"2"
"ITRc_166194 - PDDEXK_2",8.15219346884274e-16,"2"
"ITRc_75306 - PDDEXK_2",2.07914383051179e-15,"2"
"ITRc_42556 - Transposase_20",5.28939428749343e-15,"2"
"ITRc_799635 - Transposase_mut",5.28939428749343e-15,"2"
"ITRc_97586 - Y1_Tnp",5.28939428749343e-15,"2"
"ITRc_42556 - Y1_Tnp",1.34227984156961e-14,"2"
"ITRc_159453 - Transposase_mut",3.39781911476348e-14,"2"
"ITRc_322376 - DDE_Tnp_IS240",3.39781911476348e-14,"2"
"ITRc_98567 - PDDEXK_2",3.39781911476348e-14,"2"
"ITRc_42556 - PDDEXK_2",8.57989204050574e-14,"2"
"ITRc_2383461 - DEDD_Tnp_IS110",2.16118561827099e-13,"2"
"ITRc_200281 - DDE_Tnp_1",5.43044308001918e-13,"2"
"ITRc_305205 - Transposase_mut",5.43044308001918e-13,"2"
"ITRc_59409 - Y1_Tnp",5.43044308001918e-13,"2"
"ITRc_97737 - PDDEXK_2",5.43044308001918e-13,"2"
"ITRc_111484 - PDDEXK_2",1.36118033338276e-12,"2"
"ITRc_574163 - PDDEXK_2",1.36118033338276e-12,"2"
"ITRc_165462 - DDE_Tnp_1_6",3.40359202002518e-12,"2"
"ITRc_475036 - DEDD_Tnp_IS110",3.40359202002518e-12,"2"
"ITRc_74600 - PDDEXK_2",3.40359202002518e-12,"2"
"ITRc_59409 - PDDEXK_2",8.48994673120292e-12,"2"
"ITRc_219351 - Transposase_mut",8.496451521054e-12,"1"
"ITRc_76862 - DDE_Tnp_ISL3",1.52250330380678e-11,"1"
"ITRc_359777 - Y1_Tnp",1.92211836409957e-11,"2"
"ITRc_166584 - PDDEXK_2",2.11262422501239e-11,"2"
"ITRc_184699 - Transposase_20",2.11262422501239e-11,"2"
