contig	transposase_seq	transposase_start	transposase_end	itr_cluster	itr_position
NODE_10_length_222324_cov_30.4664	NODE_10_length_222324_cov_30.4664_168	205961	206278	3072263	206068
NODE_30_length_165818_cov_11.3004	NODE_30_length_165818_cov_11.3004_55	68737	69195	111484	68167
NODE_30_length_165818_cov_11.3004	NODE_30_length_165818_cov_11.3004_55	68737	69195	113573	68980
NODE_32_length_161963_cov_23.1405	NODE_32_length_161963_cov_23.1405_29	30131	31078	1672148	29132
NODE_32_length_161963_cov_23.1405	NODE_32_length_161963_cov_23.1405_29	30131	31078	4996389	29703
NODE_34_length_153933_cov_26.69	NODE_34_length_153933_cov_26.69_109	118913	119530	1483875	118353
NODE_34_length_153933_cov_26.69	NODE_34_length_153933_cov_26.69_109	118913	119530	1483875	118353
NODE_34_length_153933_cov_26.69	NODE_34_length_153933_cov_26.69_108	118106	118711	1483875	118353
NODE_34_length_153933_cov_26.69	NODE_34_length_153933_cov_26.69_108	118106	118711	1483875	118353
NODE_34_length_153933_cov_26.69	NODE_34_length_153933_cov_26.69_109	118913	119530	1816363	121653
NODE_34_length_153933_cov_26.69	NODE_34_length_153933_cov_26.69_109	118913	119530	1816363	121653
NODE_36_length_151177_cov_15.44	NODE_36_length_151177_cov_15.44_102	99679	100062	2369056	102109
NODE_48_length_132993_cov_31.206	NODE_48_length_132993_cov_31.206_10	6871	7806	184814	6938
NODE_48_length_132993_cov_31.206	NODE_48_length_132993_cov_31.206_124	132435	132992	1672151	132061
NODE_48_length_132993_cov_31.206	NODE_48_length_132993_cov_31.206_121	129314	130318	1672151	132061
NODE_63_length_121221_cov_13.2647	NODE_63_length_121221_cov_13.2647_36	40968	42653	1672175	41248
NODE_69_length_115073_cov_14.51	NODE_69_length_115073_cov_14.51_22	29230	30108	477792	31954
NODE_73_length_113954_cov_21.9235	NODE_73_length_113954_cov_21.9235_76	84456	85454	4095717	86929
NODE_78_length_109590_cov_11.0107	NODE_78_length_109590_cov_11.0107_90	108291	109499	1267023	108243
NODE_78_length_109590_cov_11.0107	NODE_78_length_109590_cov_11.0107_90	108291	109499	1267023	108243
NODE_120_length_88549_cov_6.05826	NODE_120_length_88549_cov_6.05826_70	83065	83514	6336883	84647
NODE_142_length_82565_cov_10.1386	NODE_142_length_82565_cov_10.1386_26	20389	21507	690287	19514
NODE_142_length_82565_cov_10.1386	NODE_142_length_82565_cov_10.1386_26	20389	21507	690287	19514
NODE_142_length_82565_cov_10.1386	NODE_142_length_82565_cov_10.1386_27	21513	21926	690287	19514
NODE_198_length_69066_cov_24.9333	NODE_198_length_69066_cov_24.9333_4	3642	4967	3602735	3503
NODE_198_length_69066_cov_24.9333	NODE_198_length_69066_cov_24.9333_4	3642	4967	3602735	3503
NODE_198_length_69066_cov_24.9333	NODE_198_length_69066_cov_24.9333_4	3642	4967	2856357	4800
NODE_198_length_69066_cov_24.9333	NODE_198_length_69066_cov_24.9333_4	3642	4967	2856357	4800
NODE_297_length_55772_cov_15.4578	NODE_297_length_55772_cov_15.4578_18	29829	30509	4997372	28855
NODE_325_length_52794_cov_7.6089	NODE_325_length_52794_cov_7.6089_10	8539	9477	3992454	7570
NODE_325_length_52794_cov_7.6089	NODE_325_length_52794_cov_7.6089_9	7525	8508	3992454	7570
NODE_329_length_52582_cov_5.57639	NODE_329_length_52582_cov_5.57639_53	42009	42998	6337122	40794
NODE_346_length_50440_cov_13.2901	NODE_346_length_50440_cov_13.2901_8	9161	9574	1681978	11072
NODE_385_length_46796_cov_6.60936	NODE_385_length_46796_cov_6.60936_4	1832	3445	953678	1092
NODE_385_length_46796_cov_6.60936	NODE_385_length_46796_cov_6.60936_4	1832	3445	953678	1092
NODE_385_length_46796_cov_6.60936	NODE_385_length_46796_cov_6.60936_4	1832	3445	953678	1092
NODE_435_length_43443_cov_6.1077	NODE_435_length_43443_cov_6.1077_34	34784	35500	6336996	33803
NODE_461_length_41871_cov_18.8485	NODE_461_length_41871_cov_18.8485_1	2	250	305414	2368
NODE_605_length_34602_cov_5.05479	NODE_605_length_34602_cov_5.05479_34	32651	33613	1279700	32658
NODE_716_length_30835_cov_26.2783	NODE_716_length_30835_cov_26.2783_26	23254	24234	4095468	24440
NODE_736_length_30348_cov_18.1227	NODE_736_length_30348_cov_18.1227_33	29979	30170	2856647	30058
NODE_780_length_28970_cov_6.87809	NODE_780_length_28970_cov_6.87809_5	5439	5843	231338	5503
NODE_780_length_28970_cov_6.87809	NODE_780_length_28970_cov_6.87809_5	5439	5843	231338	5509
NODE_864_length_26468_cov_4.16976	NODE_864_length_26468_cov_4.16976_5	4606	8847	4997144	6470
NODE_885_length_26060_cov_23.2379	NODE_885_length_26060_cov_23.2379_6	4620	5921	103494	3684
NODE_885_length_26060_cov_23.2379	NODE_885_length_26060_cov_23.2379_6	4620	5921	103494	3684
NODE_1031_length_23525_cov_7.21287	NODE_1031_length_23525_cov_7.21287_15	17633	17917	4095520	17560
NODE_1062_length_23202_cov_5.22586	NODE_1062_length_23202_cov_5.22586_22	23031	23201	4741685	22562
NODE_1089_length_22695_cov_8.31939	NODE_1089_length_22695_cov_8.31939_2	1636	2844	3541157	981
NODE_1089_length_22695_cov_8.31939	NODE_1089_length_22695_cov_8.31939_2	1636	2844	3541157	981
NODE_1089_length_22695_cov_8.31939	NODE_1089_length_22695_cov_8.31939_2	1636	2844	61118	1609
NODE_1089_length_22695_cov_8.31939	NODE_1089_length_22695_cov_8.31939_2	1636	2844	61118	1609
NODE_1089_length_22695_cov_8.31939	NODE_1089_length_22695_cov_8.31939_2	1636	2844	6183761	3850
NODE_1089_length_22695_cov_8.31939	NODE_1089_length_22695_cov_8.31939_2	1636	2844	6183761	3850
NODE_1140_length_21892_cov_32.6224	NODE_1140_length_21892_cov_32.6224_14	14754	15146	136445	16499
NODE_1267_length_20165_cov_5.9824	NODE_1267_length_20165_cov_5.9824_10	12971	13444	4996712	15063
NODE_1276_length_20021_cov_4.15972	NODE_1276_length_20021_cov_4.15972_16	18516	19364	747998	17746
NODE_1441_length_18266_cov_5.1213	NODE_1441_length_18266_cov_5.1213_1	3	563	3072263	215
NODE_1441_length_18266_cov_5.1213	NODE_1441_length_18266_cov_5.1213_1	3	563	2105094	379
NODE_1582_length_16905_cov_4.24807	NODE_1582_length_16905_cov_4.24807_3	2566	3756	2856235	3343
NODE_1582_length_16905_cov_4.24807	NODE_1582_length_16905_cov_4.24807_3	2566	3756	2856235	3343
NODE_1582_length_16905_cov_4.24807	NODE_1582_length_16905_cov_4.24807_3	2566	3756	3602860	3772
NODE_1582_length_16905_cov_4.24807	NODE_1582_length_16905_cov_4.24807_3	2566	3756	3602860	3772
NODE_1644_length_16293_cov_4.17921	NODE_1644_length_16293_cov_4.17921_7	4034	4912	165689	4260
NODE_1644_length_16293_cov_4.17921	NODE_1644_length_16293_cov_4.17921_7	4034	4912	165689	4260
NODE_1883_length_14773_cov_5.8423	NODE_1883_length_14773_cov_5.8423_5	4044	4499	2105094	3819
NODE_1883_length_14773_cov_5.8423	NODE_1883_length_14773_cov_5.8423_6	4812	5213	2105094	3819
NODE_1906_length_14635_cov_23.8521	NODE_1906_length_14635_cov_23.8521_4	2495	3799	952967	4187
NODE_1906_length_14635_cov_23.8521	NODE_1906_length_14635_cov_23.8521_4	2495	3799	878328	4230
NODE_1906_length_14635_cov_23.8521	NODE_1906_length_14635_cov_23.8521_4	2495	3799	878328	4293
NODE_1906_length_14635_cov_23.8521	NODE_1906_length_14635_cov_23.8521_4	2495	3799	698983	4339
NODE_1906_length_14635_cov_23.8521	NODE_1906_length_14635_cov_23.8521_4	2495	3799	876028	4411
NODE_2034_length_13774_cov_4.20344	NODE_2034_length_13774_cov_4.20344_6	4344	4619	6337020	6165
NODE_2062_length_13621_cov_15.7643	NODE_2062_length_13621_cov_15.7643_5	2562	4253	4095470	2881
NODE_2773_length_10810_cov_17.0655	NODE_2773_length_10810_cov_17.0655_2	128	1291	228910	1107
NODE_2773_length_10810_cov_17.0655	NODE_2773_length_10810_cov_17.0655_2	128	1291	228910	1107
