contig	transposase_seq	transposase_start	transposase_end	itr_cluster	itr_position
NODE_69_length_40892_cov_11.9279	NODE_69_length_40892_cov_11.9279_8	5739	6569	73344	6330
NODE_69_length_40892_cov_11.9279	NODE_69_length_40892_cov_11.9279_8	5739	6569	73344	6330
NODE_69_length_40892_cov_11.9279	NODE_69_length_40892_cov_11.9279_8	5739	6569	73344	6330
NODE_69_length_40892_cov_11.9279	NODE_69_length_40892_cov_11.9279_8	5739	6569	73344	6330
NODE_69_length_40892_cov_11.9279	NODE_69_length_40892_cov_11.9279_8	5739	6569	73344	6330
NODE_69_length_40892_cov_11.9279	NODE_69_length_40892_cov_11.9279_8	5739	6569	73344	6330
NODE_115_length_28708_cov_85.0474	NODE_115_length_28708_cov_85.0474_16	16188	17444	104649	16210
NODE_115_length_28708_cov_85.0474	NODE_115_length_28708_cov_85.0474_16	16188	17444	104649	16210
NODE_115_length_28708_cov_85.0474	NODE_115_length_28708_cov_85.0474_16	16188	17444	104649	16210
NODE_115_length_28708_cov_85.0474	NODE_115_length_28708_cov_85.0474_16	16188	17444	131702	16847
NODE_115_length_28708_cov_85.0474	NODE_115_length_28708_cov_85.0474_16	16188	17444	131702	16847
NODE_115_length_28708_cov_85.0474	NODE_115_length_28708_cov_85.0474_16	16188	17444	131702	16847
NODE_115_length_28708_cov_85.0474	NODE_115_length_28708_cov_85.0474_16	16188	17444	5063474	17901
NODE_115_length_28708_cov_85.0474	NODE_115_length_28708_cov_85.0474_16	16188	17444	5063474	17901
NODE_115_length_28708_cov_85.0474	NODE_115_length_28708_cov_85.0474_16	16188	17444	5063474	17901
NODE_115_length_28708_cov_85.0474	NODE_115_length_28708_cov_85.0474_18	20235	20918	222263	22869
NODE_115_length_28708_cov_85.0474	NODE_115_length_28708_cov_85.0474_19	21328	21681	222263	22869
NODE_122_length_27749_cov_10.2559	NODE_122_length_27749_cov_10.2559_26	26579	26917	116699	27581
NODE_122_length_27749_cov_10.2559	NODE_122_length_27749_cov_10.2559_26	26579	26917	116699	27581
NODE_122_length_27749_cov_10.2559	NODE_122_length_27749_cov_10.2559_26	26579	26917	116699	27581
NODE_122_length_27749_cov_10.2559	NODE_122_length_27749_cov_10.2559_26	26579	26917	116699	27581
NODE_122_length_27749_cov_10.2559	NODE_122_length_27749_cov_10.2559_28	27089	27586	116699	27581
NODE_287_length_17267_cov_9.04851	NODE_287_length_17267_cov_9.04851_8	6878	7885	902304	6825
NODE_287_length_17267_cov_9.04851	NODE_287_length_17267_cov_9.04851_8	6878	7885	902304	6825
NODE_287_length_17267_cov_9.04851	NODE_287_length_17267_cov_9.04851_8	6878	7885	902304	6825
NODE_287_length_17267_cov_9.04851	NODE_287_length_17267_cov_9.04851_8	6878	7885	902304	6825
NODE_287_length_17267_cov_9.04851	NODE_287_length_17267_cov_9.04851_8	6878	7885	902304	6825
NODE_395_length_14955_cov_11.586	NODE_395_length_14955_cov_11.586_9	4958	6556	1418554	5582
NODE_425_length_14571_cov_30.773	NODE_425_length_14571_cov_30.773_15	11385	11903	8790	11500
NODE_425_length_14571_cov_30.773	NODE_425_length_14571_cov_30.773_15	11385	11903	49534	12006
NODE_435_length_14347_cov_5.55276	NODE_435_length_14347_cov_5.55276_1	3	248	773364	579
