contig	transposase_seq	transposase_start	transposase_end	itr_cluster	itr_position
NODE_10_length_387342_cov_18.7994	NODE_10_length_387342_cov_18.7994_290	354659	355177	1568957	354701
NODE_10_length_387342_cov_18.7994	NODE_10_length_387342_cov_18.7994_290	354659	355177	4742015	356410
NODE_18_length_343345_cov_5.61603	NODE_18_length_343345_cov_5.61603_151	215859	216767	2314673	216844
NODE_24_length_298221_cov_8.82731	NODE_24_length_298221_cov_8.82731_234	238275	238814	2681051	238132
NODE_30_length_261581_cov_31.5694	NODE_30_length_261581_cov_31.5694_111	137722	138624	3995055	138364
NODE_31_length_254617_cov_15.1955	NODE_31_length_254617_cov_15.1955_223	247511	248308	6208842	249496
NODE_40_length_222181_cov_19.6845	NODE_40_length_222181_cov_19.6845_132	170366	170935	993616	168738
NODE_40_length_222181_cov_19.6845	NODE_40_length_222181_cov_19.6845_132	170366	170935	369051	169783
NODE_76_length_177049_cov_18.2329	NODE_76_length_177049_cov_18.2329_76	70945	71808	3995293	73565
NODE_78_length_176485_cov_7.06899	NODE_78_length_176485_cov_7.06899_162	176115	176483	1569255	176004
NODE_80_length_174623_cov_14.8381	NODE_80_length_174623_cov_14.8381_191	167249	167614	247428	166007
NODE_80_length_174623_cov_14.8381	NODE_80_length_174623_cov_14.8381_192	167687	167989	247428	166007
NODE_80_length_174623_cov_14.8381	NODE_80_length_174623_cov_14.8381_193	168038	168538	247428	166007
NODE_104_length_155031_cov_18.6999	NODE_104_length_155031_cov_18.6999_69	72546	73448	3522760	72596
NODE_109_length_150062_cov_6.48711	NODE_109_length_150062_cov_6.48711_112	149338	149784	239649	149071
NODE_109_length_150062_cov_6.48711	NODE_109_length_150062_cov_6.48711_112	149338	149784	239649	149606
NODE_118_length_145799_cov_53.0563	NODE_118_length_145799_cov_53.0563_26	33096	33983	228849	32668
NODE_118_length_145799_cov_53.0563	NODE_118_length_145799_cov_53.0563_26	33096	33983	3196809	33082
NODE_118_length_145799_cov_53.0563	NODE_118_length_145799_cov_53.0563_26	33096	33983	2697542	34736
NODE_125_length_142173_cov_49.3365	NODE_125_length_142173_cov_49.3365_1	2	319	3994865	32
NODE_125_length_142173_cov_49.3365	NODE_125_length_142173_cov_49.3365_1	2	319	3994865	32
NODE_125_length_142173_cov_49.3365	NODE_125_length_142173_cov_49.3365_1	2	319	396132	644
NODE_125_length_142173_cov_49.3365	NODE_125_length_142173_cov_49.3365_1	2	319	396132	644
NODE_151_length_123532_cov_16.8777	NODE_151_length_123532_cov_16.8777_101	104743	105171	3046617	104870
NODE_151_length_123532_cov_16.8777	NODE_151_length_123532_cov_16.8777_100	104525	104767	3046617	104870
NODE_151_length_123532_cov_16.8777	NODE_151_length_123532_cov_16.8777_101	104743	105171	2060572	107176
NODE_151_length_123532_cov_16.8777	NODE_151_length_123532_cov_16.8777_100	104525	104767	2060572	107176
NODE_171_length_118242_cov_3.72195	NODE_171_length_118242_cov_3.72195_88	112036	112482	4742262	110484
NODE_203_length_111153_cov_13.1905	NODE_203_length_111153_cov_13.1905_43	42961	44946	3995135	44185
NODE_248_length_99701_cov_34.8013	NODE_248_length_99701_cov_34.8013_73	73917	74939	4741579	75358
NODE_265_length_95746_cov_24.3056	NODE_265_length_95746_cov_24.3056_4	5681	6274	197989	5737
NODE_270_length_95405_cov_18.6151	NODE_270_length_95405_cov_18.6151_35	30354	31292	1568957	30284
NODE_278_length_94147_cov_19.1161	NODE_278_length_94147_cov_19.1161_60	52346	53308	3995055	52557
NODE_283_length_92801_cov_63.2483	NODE_283_length_92801_cov_63.2483_50	40514	41413	1295536	42191
NODE_284_length_92469_cov_8.40705	NODE_284_length_92469_cov_8.40705_73	80371	81270	3994921	79520
NODE_290_length_90922_cov_9.81174	NODE_290_length_90922_cov_9.81174_49	62137	63036	2060466	64471
NODE_308_length_87523_cov_12.3448	NODE_308_length_87523_cov_12.3448_73	72010	72888	4741301	72254
NODE_348_length_82903_cov_8.04641	NODE_348_length_82903_cov_8.04641_68	74625	74810	168324	72620
NODE_350_length_82816_cov_19.0968	NODE_350_length_82816_cov_19.0968_72	82365	82814	3994809	81547
NODE_350_length_82816_cov_19.0968	NODE_350_length_82816_cov_19.0968_72	82365	82814	3994809	81547
NODE_368_length_79546_cov_4.62186	NODE_368_length_79546_cov_4.62186_19	20862	21806	1568914	21198
NODE_407_length_73694_cov_18.7663	NODE_407_length_73694_cov_18.7663_49	57224	58117	2314578	59814
NODE_407_length_73694_cov_18.7663	NODE_407_length_73694_cov_18.7663_49	57224	58117	6209113	59819
NODE_432_length_70757_cov_9.98246	NODE_432_length_70757_cov_9.98246_61	61966	62178	1503933	61902
NODE_432_length_70757_cov_9.98246	NODE_432_length_70757_cov_9.98246_61	61966	62178	4743240	62061
NODE_464_length_67821_cov_80.0975	NODE_464_length_67821_cov_80.0975_25	22704	23744	2708571	24709
NODE_464_length_67821_cov_80.0975	NODE_464_length_67821_cov_80.0975_25	22704	23744	2063207	25174
NODE_464_length_67821_cov_80.0975	NODE_464_length_67821_cov_80.0975_29	29060	30100	6209353	31452
NODE_494_length_64701_cov_55.6084	NODE_494_length_64701_cov_55.6084_57	62919	64094	210585	62853
NODE_494_length_64701_cov_55.6084	NODE_494_length_64701_cov_55.6084_57	62919	64094	210585	62853
NODE_494_length_64701_cov_55.6084	NODE_494_length_64701_cov_55.6084_57	62919	64094	6208444	64054
NODE_494_length_64701_cov_55.6084	NODE_494_length_64701_cov_55.6084_57	62919	64094	6208444	64054
NODE_516_length_62792_cov_8.87416	NODE_516_length_62792_cov_8.87416_7	6660	7550	3523134	5412
NODE_521_length_62348_cov_63.229	NODE_521_length_62348_cov_63.229_9	9989	10804	6208975	8514
NODE_562_length_59175_cov_13.3349	NODE_562_length_59175_cov_13.3349_5	6927	7871	6208328	9005
NODE_614_length_55672_cov_11.3674	NODE_614_length_55672_cov_11.3674_8	9329	10306	1176373	12010
NODE_615_length_55552_cov_5.44622	NODE_615_length_55552_cov_5.44622_22	18547	19371	1989171	21083
NODE_624_length_54979_cov_8.43145	NODE_624_length_54979_cov_8.43145_22	23787	24377	4741648	25121
NODE_624_length_54979_cov_8.43145	NODE_624_length_54979_cov_8.43145_23	24498	24683	4741648	25121
NODE_624_length_54979_cov_8.43145	NODE_624_length_54979_cov_8.43145_22	23787	24377	4741648	25156
NODE_624_length_54979_cov_8.43145	NODE_624_length_54979_cov_8.43145_23	24498	24683	4741648	25156
NODE_624_length_54979_cov_8.43145	NODE_624_length_54979_cov_8.43145_23	24498	24683	3995430	26968
NODE_629_length_54584_cov_33.5162	NODE_629_length_54584_cov_33.5162_14	13223	13498	2314495	15631
NODE_632_length_54492_cov_15.9465	NODE_632_length_54492_cov_15.9465_11	9418	9906	2307041	7744
NODE_632_length_54492_cov_15.9465	NODE_632_length_54492_cov_15.9465_10	8922	9473	2307041	7744
NODE_632_length_54492_cov_15.9465	NODE_632_length_54492_cov_15.9465_11	9418	9906	159453	8592
NODE_632_length_54492_cov_15.9465	NODE_632_length_54492_cov_15.9465_10	8922	9473	159453	8592
NODE_639_length_54155_cov_143.775	NODE_639_length_54155_cov_143.775_13	18667	19164	3994850	16484
NODE_641_length_54079_cov_41.4374	NODE_641_length_54079_cov_41.4374_11	10040	11920	3995135	11624
NODE_715_length_49583_cov_8.1865	NODE_715_length_49583_cov_8.1865_24	24346	25494	2314871	23805
NODE_715_length_49583_cov_8.1865	NODE_715_length_49583_cov_8.1865_24	24346	25494	2314871	23805
NODE_715_length_49583_cov_8.1865	NODE_715_length_49583_cov_8.1865_23	23991	24278	2314871	23805
NODE_715_length_49583_cov_8.1865	NODE_715_length_49583_cov_8.1865_24	24346	25494	743725	24086
NODE_715_length_49583_cov_8.1865	NODE_715_length_49583_cov_8.1865_24	24346	25494	743725	24086
NODE_715_length_49583_cov_8.1865	NODE_715_length_49583_cov_8.1865_23	23991	24278	743725	24086
NODE_715_length_49583_cov_8.1865	NODE_715_length_49583_cov_8.1865_24	24346	25494	743725	24551
NODE_715_length_49583_cov_8.1865	NODE_715_length_49583_cov_8.1865_24	24346	25494	743725	24551
NODE_715_length_49583_cov_8.1865	NODE_715_length_49583_cov_8.1865_23	23991	24278	743725	24551
NODE_757_length_47269_cov_9.47632	NODE_757_length_47269_cov_9.47632_32	31004	31852	2708305	32299
NODE_757_length_47269_cov_9.47632	NODE_757_length_47269_cov_9.47632_32	31004	31852	2708305	32299
NODE_757_length_47269_cov_9.47632	NODE_757_length_47269_cov_9.47632_32	31004	31852	2708305	32721
NODE_757_length_47269_cov_9.47632	NODE_757_length_47269_cov_9.47632_32	31004	31852	2708305	32721
NODE_875_length_42379_cov_18.0099	NODE_875_length_42379_cov_18.0099_33	35165	36124	881917	36412
NODE_994_length_37756_cov_3.72163	NODE_994_length_37756_cov_3.72163_13	18276	19097	4742468	20695
NODE_1021_length_36735_cov_4.71407	NODE_1021_length_36735_cov_4.71407_18	15734	16972	3995112	18028
NODE_1047_length_36022_cov_9.27692	NODE_1047_length_36022_cov_9.27692_18	16087	16902	3642557	14281
